symbol,date,price
WhyImNotVotingForHillary,Apr-12-2015-17,1379
WhyImNotVotingForHillary,Apr-12-2015-18,1786
WhyImNotVotingForHillary,Apr-12-2015-19,2093
WhyImNotVotingForHillary,Apr-12-2015-20,2310
WhyImNotVotingForHillary,Apr-12-2015-21,1799
WhyImNotVotingForHillary,Apr-12-2015-22,1213
WhyImNotVotingForHillary,Apr-12-2015-23,1265
WhyImNotVotingForHillary,Apr-13-2015-00,1298
WhyImNotVotingForHillary,Apr-13-2015-01,1161
WhyImNotVotingForHillary,Apr-13-2015-02,977
WhyImNotVotingForHillary,Apr-13-2015-03,784
WhyImNotVotingForHillary,Apr-13-2015-04,545
WhyImNotVotingForHillary,Apr-13-2015-05,314
WhyImNotVotingForHillary,Apr-13-2015-06,184
WhyImNotVotingForHillary,Apr-13-2015-07,99
WhyImNotVotingForHillary,Apr-13-2015-08,79
WhyImNotVotingForHillary,Apr-13-2015-09,96
WhyImNotVotingForHillary,Apr-13-2015-10,178
WhyImNotVotingForHillary,Apr-13-2015-11,407
WhyImNotVotingForHillary,Apr-13-2015-12,539
WhyImNotVotingForHillary,Apr-13-2015-13,486
WhyImNotVotingForHillary,Apr-13-2015-14,602
WhyImNotVotingForHillary,Apr-13-2015-15,678
WhyImNotVotingForHillary,Apr-13-2015-16,485
WhyImNotVotingForHillary,Apr-13-2015-17,543
WhyImNotVotingForHillary,Apr-13-2015-18,783
WhyImNotVotingForHillary,Apr-13-2015-19,492
WhyImNotVotingForHillary,Apr-13-2015-20,343
WhyImNotVotingForHillary,Apr-13-2015-21,389
WhyImNotVotingForHillary,Apr-13-2015-22,576
WhyImNotVotingForHillary,Apr-13-2015-23,593
WhyImNotVotingForHillary,Apr-14-2015-00,358
WhyImNotVotingForHillary,Apr-14-2015-01,472
WhyImNotVotingForHillary,Apr-14-2015-02,532
WhyImNotVotingForHillary,Apr-14-2015-03,406
WhyImNotVotingForHillary,Apr-14-2015-04,299
WhyImNotVotingForHillary,Apr-14-2015-05,195
WhyImNotVotingForHillary,Apr-14-2015-06,64
WhyImNotVotingForHillary,Apr-14-2015-07,47
WhyImNotVotingForHillary,Apr-14-2015-08,48
WhyImNotVotingForHillary,Apr-14-2015-09,76
WhyImNotVotingForHillary,Apr-14-2015-10,111
WhyImNotVotingForHillary,Apr-14-2015-11,176
WhyImNotVotingForHillary,Apr-14-2015-12,167
WhyImNotVotingForHillary,Apr-14-2015-13,194
WhyImNotVotingForHillary,Apr-14-2015-14,273
WhyImNotVotingForHillary,Apr-14-2015-15,349
WhyImNotVotingForHillary,Apr-14-2015-16,242
Hillary2016,Apr-12-2015-17,671
Hillary2016,Apr-12-2015-18,1214
Hillary2016,Apr-12-2015-19,9918
Hillary2016,Apr-12-2015-20,8133
Hillary2016,Apr-12-2015-21,6026
Hillary2016,Apr-12-2015-22,4842
Hillary2016,Apr-12-2015-23,5087
Hillary2016,Apr-13-2015-00,4447
Hillary2016,Apr-13-2015-01,3319
Hillary2016,Apr-13-2015-02,3072
Hillary2016,Apr-13-2015-03,2168
Hillary2016,Apr-13-2015-04,1571
Hillary2016,Apr-13-2015-05,1228
Hillary2016,Apr-13-2015-06,898
Hillary2016,Apr-13-2015-07,741
Hillary2016,Apr-13-2015-08,492
Hillary2016,Apr-13-2015-09,509
Hillary2016,Apr-13-2015-10,712
Hillary2016,Apr-13-2015-11,886
Hillary2016,Apr-13-2015-12,1032
Hillary2016,Apr-13-2015-13,1116
Hillary2016,Apr-13-2015-14,1329
Hillary2016,Apr-13-2015-15,1461
Hillary2016,Apr-13-2015-16,1328
Hillary2016,Apr-13-2015-17,1045
Hillary2016,Apr-13-2015-18,1314
Hillary2016,Apr-13-2015-19,1115
Hillary2016,Apr-13-2015-20,1153
Hillary2016,Apr-13-2015-21,1154
Hillary2016,Apr-13-2015-22,1087
Hillary2016,Apr-13-2015-23,1061
Hillary2016,Apr-14-2015-00,1063
Hillary2016,Apr-14-2015-01,1036
Hillary2016,Apr-14-2015-02,1053
Hillary2016,Apr-14-2015-03,812
Hillary2016,Apr-14-2015-04,638
Hillary2016,Apr-14-2015-05,406
Hillary2016,Apr-14-2015-06,416
Hillary2016,Apr-14-2015-07,293
Hillary2016,Apr-14-2015-08,246
Hillary2016,Apr-14-2015-09,269
Hillary2016,Apr-14-2015-10,260
Hillary2016,Apr-14-2015-11,419
Hillary2016,Apr-14-2015-12,647
Hillary2016,Apr-14-2015-13,550
Hillary2016,Apr-14-2015-14,509
Hillary2016,Apr-14-2015-15,484
Hillary2016,Apr-14-2015-16,533
HillaryClinton,Apr-12-2015-17,853
HillaryClinton,Apr-12-2015-18,1054
HillaryClinton,Apr-12-2015-19,5333
HillaryClinton,Apr-12-2015-20,3674
HillaryClinton,Apr-12-2015-21,2508
HillaryClinton,Apr-12-2015-22,2126
