word,count
Durango,1
Bicol,2
Languedoc-Roussillon,3
Friesland,2
Bolivar,12
Lara,10
Al Jizah,11
Gaziantep,3
Los Rios,7
Indiana,280
Louisiana,82
Riau,1
Trujillo Alto,9
Morovis,1
Trentino-Alto Adige,7
Basilicate,1
Western,11
Manabi,4
Rio Grande do Sul,107
Tripoli,1
Massachusetts,446
Paraiba,19
Kirklareli,1
Ha Noi,3
Alaska,5
Heredia,17
Vaermland,1
Abuja Federal Capital Territory,4
Araucania,9
South Australia,10
Bratislavsky,1
Hermanas Mirabal,4
Brussels Capital,2
Saitama,1
Meta,2
Penang,3
Osaka,1
East Kalimantan,10
Puerto Plata,2
Varsinais-Suomi,2
Cesar,6
Parana,59
Rostov,2
Bavaria,23
Trabzon,1
Rhone-Alpes,12
Risaralda,3
Waikato,1
Ancash,8
Harju,2
Aragua,27
Ho Chi Minh City,4
Maryland,354
Gurabo,6
Saint Catherine,2
Quetzaltenango,1
Arizona,198
Cundinamarca,35
Chiapas,10
Cordoba,25
Zacatecas,2
San Luis Potosi,15
Kuala Lumpur,17
Eskisehir,3
West Bank,3
Amapa,8
Bern,1
Tabasco,13
Baja California Sur,4
Tuscany,35
Arica y Parinacota,2
Rondonia,1
Amambay,1
Al Madinah al Munawwarah,3
Pest,1
Lagunes,1
Merida,11
La Vega,1
Limousin,2
Ohio,513
Zurich,2
Satakunta,1
Neamt,1
Shizuoka,1
South Sumatra,3
West Sumatra,1
Mbeya,1
Abu Dhabi,2
Limon,4
New Providence,5
Maine,48
Zarqa,1
Istanbul,123
Munster,56
Dar es Salaam,4
Aguascalientes,4
Central Jutland,18
Alberta,82
Wales,54
Muhafazat al Qahirah,22
Dobrepolje,1
Camuy,1
South Holland,13
Gaevleborg,1
Baja California,29
Banten,2
Prizren,2
Quintana Roo,22
O'Higgins,6
Monagas,9
Leiria,1
Friuli Venezia Giulia,7
Franche-Comte,7
San German,1
Catano,6
Oita,1
Duzce,1
Kranjska Gora,1
Flanders,31
Sucre,6
North Sulawesi,5
Lower Saxony,2
Cayo,1
Yauco,1
Eastern Cape,2
Bursa,3
Bay Islands,1
Beyrouth,2
Nevada,95
Asan,1
Osjecko-Baranjska,1
Yamanashi,1
Northern,1
Queretaro,16
Pichincha,21
Kerala,1
Changwat Ubon Ratchathani,1
Municipio de Juncos,1
OEstergoetland,4
Comayagua,3
Penal/Debe,1
Norrbotten,2
Lefkosia,1
Maldonado,6
Aargau,3
Caraga,1
Arequipa,1
Alagoas,8
La Guajira,2
Madre de Dios,1
Madhya Pradesh,1
Norte de Santander,8
Al Ahmadi,6
Alsace,2
Miranda,91
Falcon,5
Anzoategui,5
Zealand,3
Samsun,1
Campania,34
Moskovskaya,4
Managua,19
Nebraska,61
Kastamonu,1
Nakhon Si Thammarat,1
Montserrado,1
Sonsonate,1
Gjilan,1
Putrajaya,3
Esmeraldas,3
Champagne-Ardenne,4
Mexico,94
Jaemtland,1
NCT,3
Edo,1
Santo Domingo,11
Az Zawiyah,1
Tennessee,252
Saint James,4
Northern Ireland,30
Silesian Voivodeship,1
Manitoba,27
San Miguel,1
Mississippi,70
Magallanes,1
Al Asimah,7
Western Cape,12
Leinster,92
Minnesota,274
Illinois,690
Chihuahua,11
Guayas,42
Sao Paulo,348
Rheinland-Pfalz,3
Texas,1117
Taranaki,1
Rajasthan,4
Yucatan,19
Antofagasta,5
Jeollanam-do,1
Liguria,11
Adamawa,1
Guatemala,17
Coimbra,2
West Virginia,62
Magdalena,1
Lampung,1
San Lorenzo,2
Central Visayas,6
Porto,6
Dubai,10
British Columbia,140
Moscow,13
Entre Rios,2
Al Farwaniyah,2
Sindh,7
Ra's al Khaymah,1
Muhafazat Masqat,1
Jakarta Raya,32
Bucuresti,2
Uttarakhand,1
Skane,4
South Dakota,15
Ar Riyad,9
Perlis,3
Cantabria,4
Dhaka,4
Baladiyat ar Rayyan,3
Loreto,1
Chubut,3
Vest-Agder,2
Carolina,4
Ile-de-France,143
Sakha,1
Michigan,367
Bourgogne,6
Yaracuy,5
Hubei,2
Hawke's Bay,1
Andhra Pradesh,1
Provence-Alpes-Cote d'Azur,31
Kocaeli,4
Aydin,1
Papua,3
San Cristobal,3
Finnmark Fylke,1
Tamuning,1
Callao,23
Maharashtra,35
Aragon,8
Barceloneta,1
Borough of Arima,1
South Province,1
Kiambu,5
St Peter Port,1
Madrid,138
Valparaiso,49
Buskerud,1
La Rioja,4
Oaxaca,5
Kowloon City,1
Baki,2
Hidalgo,7
Ionian Islands,2
Mexico City,210
Ontario,610
West Kalimantan,1
Wallonia,3
Tocantins,4
Mendoza,6
Oklahoma,184
Burgas,1
Guerrero,11
City of San Fernando,2
Latium,102
Vega Baja,3
Assam,1
Mato Grosso,7
Gelderland,3
Centre,4
Commune de Monaco,1
Faro,4
St Helier,2
Abruzzo,4
Joenkoeping,3
Galicia,36
Delta,4
Michoacan,7
Vargas,5
La Pampa,2
Catalonia,64
North Holland,17
Coquimbo,9
Kilifi,1
Northern Mindanao,1
Basque Country,14
Eastern Visayas,1
Rivas,1
Mordoviya,1
Aveiro,3
Cortes,14
Zonguldak,1
Western Australia,11
Bogota D.C.,89
Buenos Aires F.D.,132
Akita,1
Belgorod,2
New York,1902
More og Romsdal,1
Lima,86
Auvergne,6
Tanger-Tetouan,1
Khabarovsk Krai,2
Lambayeque,1
Chaco,2
Biobio,31
Haryana,1
San Salvador,12
Los Lagos,10
Tarija,3
Cochabamba,1
Mato Grosso do Sul,5
Mubarak al Kabir,2
Apulia,16
Misiones,1
Atlantida,1
Idaho,27
Odessa,2
Cluj,1
Budva,1
Corrientes,1
Virginia,362
Okinawa,2
Halland,2
Sergipe,4
Castille-La Mancha,23
South Carolina,133
Arauca,2
Ulaanbaatar,3
Talofofo,2
Chon Buri,2
Anasco,1
Hawaii,31
Kentucky,168
Puebla,27
Nueva Esparta,8
Port Louis,5
Nova Scotia,54
Gujarat,3
Iowa,119
Alabama,147
Tachira,24
Southern Savonia,1
Portuguesa,5
Saint George,2
Goias,16
Kingston,1
Daerah Istimewa Yogyakarta,5
Dalarna,8
Selangor,30
Narino,1
Baden-Wuerttemberg,16
Lisbon,23
Pays de la Loire,2
North Karelia,5
Kiev,4
Santander,10
Toa Alta,3
Chhattisgarh,1
Veneto,30
Paijanne Tavastia,1
Tekirdag,1
Rio Negro,3
Extremadura,9
Formosa,2
Santiago,4
Splitsko-Dalmatinska,1
Santo Domingo de los Tsachilas,1
Iwate,1
Csongrad,1
Kansas,157
West Java,40
Valle del Cauca,17
Aquitaine,14
Capital Region,29
North Sumatra,4
Saint Andrew,5
Maale,2
Haute-Normandie,8
Wyoming,10
Mersin,2
Otago,1
Al Wakrah,1
Karabuk,1
Brittany,12
Makkah,19
Jalisco,52
Shanghai Shi,3
Trinity Palmetto Point,1
Navarre,6
Cordillera,1
Bahia,42
Colorado,181
Kaluga,1
New Jersey,767
Ostrobothnia,2
Washington,232
Minas Gerais,102
Duarte,3
Paramaribo,1
Roraima,4
Nonthaburi,5
San Juan,14
Metro Manila,87
Uppsala,8
Dnipropetrovsk,1
Pernambuco,41
Rize,1
Amman,1
San Martin,1
Voronezj,1
Santiago Metropolitan,231
Northern Cape,1
Calabria,9
Wisconsin,192
Para,35
Saskatchewan,18
Maule,9
Oregon,133
Alta Verapaz,1
Puntarenas,1
Berlin,11
Mont-Liban,5
Maluku Utara,1
Mintaqat Tabuk,1
Central,29
Negeri Sembilan,4
Ajaria,1
Florida,816
