symbol,date,price
Oscars,Mar-02-2014-22,766
Oscars,Mar-02-2014-23,36498
Oscars,Mar-03-2014-00,45209
Oscars,Mar-03-2014-01,52848
Oscars,Mar-03-2014-02,52683
Oscars,Mar-03-2014-03,36606
Oscars,Mar-03-2014-04,41722
Oscars,Mar-03-2014-05,31106
Oscars,Mar-03-2014-06,24605
Oscars2014,Mar-02-2014-22,618
Oscars2014,Mar-02-2014-23,36582
Oscars2014,Mar-03-2014-00,41476
Oscars2014,Mar-03-2014-01,40881
Oscars2014,Mar-03-2014-02,36899
Oscars2014,Mar-03-2014-03,27701
Oscars2014,Mar-03-2014-04,35668
Oscars2014,Mar-03-2014-05,23158
Oscars2014,Mar-03-2014-06,21399
Oscar,Mar-02-2014-22,59
Oscar,Mar-02-2014-23,2395
Oscar,Mar-03-2014-00,2181
Oscar,Mar-03-2014-01,2823
Oscar,Mar-03-2014-02,4009
Oscar,Mar-03-2014-03,2300
Oscar,Mar-03-2014-04,3591
Oscar,Mar-03-2014-05,3814
Oscar,Mar-03-2014-06,3455
oscars,Mar-02-2014-22,112
oscars,Mar-02-2014-23,6755
oscars,Mar-03-2014-00,7302
oscars,Mar-03-2014-01,8251
oscars,Mar-03-2014-02,9562
oscars,Mar-03-2014-03,63656
oscars,Mar-03-2014-04,31254
oscars,Mar-03-2014-05,28766
oscars,Mar-03-2014-06,40261
