word,count
Jojo,1
houseofspacey,1
picoftheda,1
restiamouniti,1
EllenDegenerous,1
ILOVEHER,2
WiseGuysAtWarnerBrothers,1
labolsadelmanitas,2
screltingwithIdina,1
bestsupportingkitty,1
areyoukiddingme,3
shitChloesays,1
EraObvio,2
canes,1
SagAwards,1
NoQuisoSalirMiAmá,1
isaid,1
onacarpet,1
wwewrestlemania,1
OscarRedCarpet,149
igual,5
PassiveAggressiveCommas,1
Olympicredcarpet,1
AOTA14,1
imdacaptainnow,1
CanIGetAnAmen,1
SavingMexico,8
VenevisionEresUnaPorqueria,1
yyjarts,1
acoustic,1
BREAKINGNEWS,15
cryingforleo,1
AnimatorsOnStage,1
Elen,2
AveenoCommercial,1
BuenosMuchachosradio,1
Ellendegeneres,26
geweldig,1
broward,1
whereisrose,1
screaming,1
idlehopes,1
KevinsLiveKimmelSelfie,1
NFLDraft,2
weirdlastname,1
betsareon,1
heythere,1
AGrande,1
imacreep,1
FuckYeahHarryPotter,2
wednesday,1
PQP,2
realgravity,42
Frocks,1
UAMNica,1
hahanej,1
GRANDECUARON,1
zzzzzz,1
memoriesofmygrandfathersfuneral,1
mediospublicitarios,1
whatadeal,1
JESÚS,1
BandWagon,2
KITV4,1
1DMoviePremiere,2
snuggles,1
filmlife,1
Shocked,3
Sponsorship,2
Hrmm,1
ranchdip,1
VTVcanal8,1
gorgeousladies,1
EnglishRose,1
woody,1
Shocker,3
princeofbelair,1
valentinesdaythrowback,1
justone,1
DearJonh,1
Nocierto,2
noschooltomorrow,2
CleanBandit,1
JLawismyBFF,1
ShahRukhKhan,1
TalentedActors,1
BarkhatAbdi,1
cooking,1
TrumpDump,1
Woolala,1
Oscarproblems,3
cooltweets,1
MyDream,3
UnRincónParaLosOscars,1
comfyyyyy,1
puglife,2
EngChat,1
PriceWaterHouse,1
autofollowback,3
guilianarancic,2
LateLateShow,1
datass,2
sayyestopizza,1
nawl,1
dayumm,2
whereisseason3,1
backtoback,1
camren,1
WhatARide,1
oscarsmakeup,1
Oscarsunday,1
china,2
Vivavenezuela2014,1
usies,1
SuperArtFight,1
EdipoSaludable,1
ninacanina,1
ButThatHat,1
Coven,2
blackribbon,3
kids,3
LasPelotas,1
noalbullying,1
27F,1
fireellenmug,1
truestatement,1
noséquepensar,1
