word,count
,1429
Tanga,10
Volyn,10
Akniste,1
Thessaly,14
Manyara,15
Tabora,1
Sindh,1
Western Cape,2015
Makkah,16
Middle Juba,4
Ammochostos,7
Al Jizah,10
Rukwa,2
Zufar,2
Anse Royale,2
Jizan,10
Sidi Bel Abbes,1
Azores,8
Abu Dhabi,2
Tadjourah,102
Qaasuitsup,147
Nimruz,5
Nereta,1
Western,6
Laccadives,1
Kerguelen,15043
Andalusia,14
Dubai,1
Mersin,2
Nugaal,64
Ta'izz,3
North Aegean,3
Amhara,3
Ar-Raqqah,1
Voronezj,2
Debub,3
Alexandria,31
Jan Mayen,98
Al Wusta,41
Ar Riyad,17
Lapland,7
Nordland,2
Svalbard,507
Utenos apskritis,9
Oromiya,7
Sanaag,11
Eastern Province,2
Bel Ombre,743
Isiolo,1
Middle Shabele,38
Punjab,1
Harari,4
Mures,8
Perm,2
Rivne,2
Arta,1
Garissa,20
Khmelnytskyi,6
Central,15
Nenetskiy Avtonomnyy Okrug,8
English River,66
Ali Sabieh,2
Cahul,1
Galguduud,368
Krasnoyarskiy,1
Baalbek-Hermel,1
Djibouti,8
Extremadura,4
Sao Tome Island,4
Kilimanjaro,5
Mtwara,22
Lower Juba,47
Anseba,13
Machakos,3
Central Greece,5
Golestan,17
Mintaqat Ha'il,17
Doukkala-Abda,1
Pafos,11
Ribeira Grande,19
Soqatra Governorate,12
Tristan da Cunha,1184
Cascade,14
Al Madinah al Munawwarah,35
Brasov,1
Bayelsa,4
Anbar,22
Jigawa,1
Port Glaud,91
Al Buhayrah,11
Osun,1
Madrid,1
Hamadan,1
Sistan and Baluchestan,15
Misratah,6
Mbeya,3
Taita Taveta,3
Khuzestan,5
Gedo,62
Canary Islands,44
Edo,1
Lusaka,2
Kirov,1
Finnmark Fylke,20
Kahramanmaras,3
Murmansk,2
Bukhara,1
Hiiraan,8
Togdheer,105
Lamu,6
Wajir,1
Al-Hasakah,1
Shabwah,7
Muhafazat al Qahirah,1
Banaadir,18
Mangghystau,2
Muhafazat al Hudaydah,2
Semnan,1
Luanda,1
Abyan,10
Balkan,1
Southern,3
Grande Comore,7
Kwale,2
Gash Barka,30
Fars,5
Delta,4
Midlands,1
Pwani,33
Taraba,1
Makueni,1
Stavropol'skiy,5
Kilifi,152
Pemba North,23
Liban-Sud,1
Mintaqat `Asir,7
Muhafazat Hadramawt,120
Muhafazat al Bayda',2
Aden,25
Woqooyi Galbeed,50
Bakool,21
Tiaret,1
Hajjah,1
Rodrigues,2
Takamaka,88
Mazandaran,2
Ma'an,4
Diana,27
Balochistan,6
Southern Red Sea Region,50
Ondo,6
Kafr ash Shaykh,3
Sool,8
Eastern Cape,766
Awdal,29
Dhi Qar,2
Annobon,3
Beyrouth,1
Ash Sharqiyah,5
Obock,8
El Bayadh,3
Al Jawf,130
Northern District,1
Lindi,26
Al-Qassim,2
Xocavand Rayonu,2
Somali,4
Homs,1
Northern Borders,2
Laeaene,1
Dikhil,9
Northern Red Sea Region,6
Mascara,6
Ajaria,1
Al Mahrah,3
South Aegean,1
Castille-La Mancha,3
Dodoma,10
Odessa,22
Benue,4
Erzurum,2
Karachayevo-Cherkesiya,2
Morogoro,15
Murcia,14
Troms,35
Bari,19
Al Batinah,1
Antalya,2
Bay,1
South,5
Lower Shabeelle,8
Pemba South,12
Arusha,12
White Nile,2
Mudug,142
Tigray,2
Ternopil,7
Muhafazat Matruh,2
Zanzibar Central/South,3
Hama,4
Marsabit,5
Lahij,18
Kitui,27
