word,count
fawn,2
httptcodhr6cj7zbq,1
httptcods0dk9p3pq,1
badgerette,1
httptcoreoe3ofxic,1
gah,11
httptco0vxftezcz9,1
sonja,1
httptcoz7qowyejrr,2
bryceboyland,1
woods,6
httptco0fv2wjfchs,2
spiders,1
hanging,350
woody,287
suzana,7
comically,1
httptco5jr6ysnxx7,1
lenci,1
canes,1
duvetlike,1
httptcowoixnm88wx,1
sufreoscarsentnt,2
httptco7vtlvq45xl,2
igual,223
httptcohy7djidfsw,1
tanggal,2
winsomething,3
rickman,119
httptcoyft1znsjkc,1
httptcoczacze2sm6,1
spacejam,5
showy,1
mehnat,2
httpstcoaawj8rhbgf,1
httptcospv510jlh8,1
httptcosujuqfpeda,7
httptcocjn3ak5x3u,4
heroesin,2
httptcojdslzwovbr,1
httptcoptasnvuxoz,1
maxxcarlisle,1
broward,1
bringing,398
httptcojg3lsfnhby,1
httptcojkzrunjce7,1
httptcovtqzie71bx,1
grueling,2
httptcogstq4ydgqg,2
httptcovdsdyxuw8k,1
wooden,3
iluminati,2
httpstcogecycbntbm,1
karen,636
wednesday,1
tartisma,1
circuitry,2
crotch,2
showbizoscars,2
httptco5ja69dkk3o,1
muthis,3
godawesomehair,1
q102philly,2
httptcosd8b3xdvrd,2
nerdboner,6
stigter,4
httptcovpgs9szbt5,1
dugplz,1
tonightjaredleto,2
fuero,1
httptcoqugmknkz5l,1
270,9
httptco0upgvabiqp,3
httptcokcmesd0iid,1
275,3
carines,2
httptcoestacoraeo,1
snuggled,1
inanimate,1
httptco2rdsaqcryp,1
errors,5
pbusce,2
tatanic,2
httptcogfrmng7zlc,2
derrotado,1
httptcozaw9rhqbik,7
derpiest,1
designing,5
httptco1gdvpvdup6,2
httptcouyygn49k6q,34
pawed,1
paff2014,1
rescechulde,1
possibleearlyonsetalzheimers,1
finkes,1
httptcoh4gg1dadgm,1
httptco9kqyiyqchm,1
dawndelrusso,2
httptco4qjs7s6ie7,1
httptcotfgwm2ghar,2
httptcomo8eudthnp,1
wasington,2
jajajajjaja,5
brainwashed,1
affiliates,4
httptcoc3lswb4uoq,3
httptcoxlx8y9syis,1
concordhall,1
oscarhungry,1
httptcor8ikbgfsrq,1
wagyu,1
affiliated,3
winnersnominees,1
kids,1027
uplifting,5
giullianas,1
httptcoufmvlzaeen,1
myfeediscloggedwithleotweets,1
kidd,8
fordhe,8
milik,2
brancaaaaaaaa,1
wkenrosato7,1
projection,1
httptcoibe2nh3wcu,1
httptconevjzjhrxb,2
nbd,24
httptco5grgmyszlt,1
salvanosrusia,1
spacewalks,5
stern,1
httptcohtubprewmx,2
nominchinbat,2
httptcob8ezxa4rop,1
httptcof6uqovikvm,1
dng,2
localtvspxprbs,1
dna,11
sergioarcetula,1
dnb,4
insecurity,2
lifewateoscars,1
httptcotiwlgektlo,2
felcitaciones,1
dnt,24
httptcosrqr9fykow,1
dnv,2
movieexplore,1
demiik74,1
mystic,13
therayvolution,1
mexicokeniana,4
carodarkie,1
ashkenazim,1
nolanzebra3,1
waxy,2
watercolor,2
httptcokqy7myekd1,1
yahoo,19
autorevoleo,1
snowplus,2
meteorologist,2
httptcou1euinsev7,1
oscarsoon,6
boorman,1
httptcodvcwnqgbrt,2
httptcouacgvbqgb9,1
httptcohum9nwlcso,2
dicaorio,126
bummy,6
destruir,1
prosiebenstars,1
pablumfree,3
httptco91ioc358s9,1
httptco4seki6mhzi,3
anthonyrusso15,1
httptcof13hiyg8ez,1
httptcoged6ygemni,1
cumbermon,1
httptcoaha8ochfv9,9
wana,2
wang,215
wand,9
pints,3
wank,3
httptcon1nt5jvmmp,3
wann,2
findingnemo,1
menggantikan,1
melhoratriz,2
want,5790
rayon,63
pinto,8
cocksucker,38
httptcoshdgnqsdaf,2
httptcokgn74gjgno,1
httptcof1dxagtupp,69
httptco8txeuqfegh,1
httptcocddp3bhuhs,3
jambomikey,1
travel,25
fistpumping,4
tennesseecherry,1
traves,4
ctinkx,3
lifewatching,1
barbra,25
httptco4bvq1l4eck,1
legajo,1
dazinimiga,1
httptcolah2gl185g,1
httptcoqcyclyry1w,1
httptcowbhwe3j1kz,1
sksnksjsjsjsjaia,1
calidag,15
arduinocnn,2
wrong,756
calidad,6
httptcoakg9fpx7ou,8
reto,1
httptcoslj0yhmprl,1
schamele,1
promotion,12
chandor,1
httpstcozl2yyhtroj,1
httptcoiwequscvri,1
httptcode6b9p8atw,3
httptcoanoriupgoi,1
jadapsmith,56
subplots,1
httptcoycxjnqhcnn,6
httptcosyojv0ydri,3
dizmihok,1
miyavi,1
penelopesomostodas,3
oscarsyourhome,1
httptcoaxblv2ke8m,2
httptcoklm0smoqgd,1
