word,count
0,373
00,7
000,8
0000,2
0000000000000000000001,1
000000001,1
000001,3
00001,3
0001,1
0003,1
0033,1
0034ciudad,4
005,1
00h,1
00h30,1
00hrs,1
00podcast,1
00s,2
01,22
010,15
01020314,3
0103,1
010314,10
01032014,6
010nnebraska,11
011,5
012,2
01253832505,1
014,4
019,3
01distribution,14
01m,3
01marzo,85
02,25
0200,12
0200de,3
0202,1
0203,1
020314,4
02032014,41
02032014n,19
0203nhttpstcoqdxgyed1vqnladygagatodayonoscar,1
0228am,1
0229iv,1
0230,2
0230h,1
027nnstars,1
02m,476
02mar1962,1
02mar2014,1
02ngtamerican,107
02…,1
03,33
030,1
0302,40
030214,1
0354,1
03pablo,1
04,7
0431,1
043466641,1
049,1
04noscars2014,11
05,176
0530,1
0541pm,1
058,1
05nphilomena,11
06,4
0600,7
0690rgg,1
06ncapitan,11
06nel,11
07,123
0700,1
0710pm,2
0730,10
0730wib,1
07nadir,1
08,8
0800,1
0800maru,1
0804releases,1
08181,2
0861987000,1
09,5
09001700,3
0921,1
0930da,2
099,4
0for7,1
0h38m,1
0hlala,1
0namerican,34
0ngravity,34
0njennifer,14
0nlel,1
0nleonardo,20
0nnoscars,2
0noscars2014,1
0nyep,1
0o,2
0ppong,1
0pssteven,1
0sc4r,1
0scars2104,1
0scarsforvenezuela,1
0”,1
1,4569
10,1750
100,514
1000,219
10000,80
100000,44
1000000,60
10000000,1
100000000,1
100000000x,1
1000000😍😍😍,1
100000k,3
100000x,2
1000am,1
1000s,3
1000th,1
1000ticketsonico,1
1000twitteros,4
1000x,4
1001inci,1
1005,2
100500,1
1005thedrive,1
1007,1
100carat,3
100díastrabadodelcoraje,1
100d“unilagolodo,1
100happydays,4
100k,94
100m,8
100minute,1
100mncost,4
100proof,1
100pt,2
100s,2
100th,6
100thanniversary,1
100to,2
100venezuela,1
100winner2011,2
100x,6
100º,4
100ปี,1
101,24
1010,20
1012,1
1012nnoscars2014,1
1017,2
1017wsfm,1
101dalmations,1
101jakfm,1
102,2
1020,3
102511,1
10276,3
102nnat,1
103,4
1030a,1
1030pm,1
1033,1
1035klite,1
1039,1
104,6
1044arrested,8
1049,4
